"pmax","temp","ma","lag"
365000,365000,365000,236.276712328767
324485,365000,365000,532.728767123288
283970,365000,365000,561.978082191781
243455,365000,365000,592.276712328767
202940,365000,365000,628.635616438356
162425,365000,365000,672.742465753425
121910,365000,365000,726.276712328767
81395,365000,365000,791.356164383562
40880,365000,365000,871.238356164384
365,365000,365000,966.227397260274
365000,324485,365000,198.942465753425
324485,324485,365000,243.498630136986
283970,324485,365000,466.049315068493
243455,324485,365000,496.975342465753
202940,324485,365000,530.980821917808
162425,324485,365000,572.808219178082
121910,324485,365000,624.580821917808
81395,324485,365000,688.558904109589
40880,324485,365000,767.980821917808
365,324485,365000,862.920547945205
365000,283970,365000,173.457534246575
324485,283970,365000,197.082191780822
283970,283970,365000,250.402739726027
243455,283970,365000,402.786301369863
202940,283970,365000,435.917808219178
162425,283970,365000,474.578082191781
121910,283970,365000,523.641095890411
81395,283970,365000,585.86301369863
40880,283970,365000,664.523287671233
365,283970,365000,759.358904109589
365000,243455,365000,153.101369863014
324485,243455,365000,168.515068493151
283970,243455,365000,193.027397260274
243455,243455,365000,255.024657534247
202940,243455,365000,346.635616438356
162425,243455,365000,382.046575342466
121910,243455,365000,426.320547945205
81395,243455,365000,485.123287671233
40880,243455,365000,562.175342465753
365,243455,365000,656.67397260274
365000,202940,365000,136.139726027397
324485,202940,365000,146.591780821918
283970,202940,365000,161.506849315069
243455,202940,365000,186.035616438356
202940,202940,365000,253.646575342466
162425,202940,365000,304.232876712329
121910,202940,365000,339.997260273973
81395,202940,365000,390.471232876712
40880,202940,365000,462.731506849315
365,202940,365000,555.717808219178
365000,162425,365000,122.054794520548
324485,162425,365000,128.915068493151
283970,162425,365000,138.235616438356
243455,162425,365000,152.01095890411
202940,162425,365000,176.506849315069
162425,162425,365000,249.427397260274
121910,162425,365000,279.498630136986
81395,162425,365000,314.367123287671
40880,162425,365000,372.457534246575
365,162425,365000,458.520547945205
365000,121910,365000,112.695890410959
324485,121910,365000,117.186301369863
283970,121910,365000,123.235616438356
243455,121910,365000,131.945205479452
202940,121910,365000,146.123287671233
162425,121910,365000,180.339726027397
121910,121910,365000,245.917808219178
81395,121910,365000,268.443835616438
40880,121910,365000,305.665753424658
365,121910,365000,371.819178082192
365000,81395,365000,109.679452054795
324485,81395,365000,112.372602739726
283970,81395,365000,115.983561643836
243455,81395,365000,121.115068493151
202940,81395,365000,129.134246575342
162425,81395,365000,144.378082191781
121910,81395,365000,215.750684931507
81395,81395,365000,243.345205479452
40880,81395,365000,265.260273972603
365,81395,365000,307.501369863014
365000,40880,365000,111.630136986301
324485,40880,365000,112.947945205479
283970,40880,365000,114.706849315068
243455,40880,365000,117.183561643836
202940,40880,365000,120.953424657534
162425,40880,365000,127.509589041096
121910,40880,365000,142.983561643836
81395,40880,365000,225.27397260274
40880,40880,365000,241.093150684932
365,40880,365000,264.701369863014
365000,365,365000,117.221917808219
324485,365,365000,117.687671232877
283970,365,365000,118.301369863014
243455,365,365000,119.147945205479
202940,365,365000,120.394520547945
162425,365,365000,122.421917808219
121910,365,365000,126.331506849315
81395,365,365000,137.728767123288
40880,365,365000,229.043835616438
365,365,365000,237.550684931507
365000,365000,324485,231.671232876712
324485,365000,324485,548.608219178082
283970,365000,324485,576.561643835616
243455,365000,324485,605.101369863014
202940,365000,324485,639.367123287671
162425,365000,324485,681.087671232877
121910,365000,324485,732
81395,365000,324485,794.378082191781
40880,365000,324485,871.819178082192
365,365000,324485,965.427397260274
365000,324485,324485,196.917808219178
324485,324485,324485,239.287671232877
283970,324485,324485,478.47397260274
243455,324485,324485,508.147945205479
202940,324485,324485,540.391780821918
162425,324485,324485,580.084931506849
121910,324485,324485,629.402739726027
81395,324485,324485,690.767123287671
40880,324485,324485,767.772602739726
365,324485,324485,861.33698630137
365000,283970,324485,172.295890410959
324485,283970,324485,195.569863013699
283970,283970,324485,246.871232876712
243455,283970,324485,412.854794520548
202940,283970,324485,444.731506849315
162425,283970,324485,481.665753424658
121910,283970,324485,528.558904109589
81395,283970,324485,588.320547945205
40880,283970,324485,664.616438356164
365,283970,324485,758.082191780822
365000,243455,324485,152.290410958904
324485,243455,324485,167.665753424658
283970,243455,324485,192.008219178082
243455,243455,324485,252.638356164384
202940,243455,324485,353.575342465753
162425,243455,324485,388.139726027397
121910,243455,324485,430.871232876712
81395,243455,324485,487.569863013699
40880,243455,324485,562.380821917808
365,243455,324485,655.52602739726
365000,202940,324485,135.430136986301
324485,202940,324485,145.934246575342
283970,202940,324485,160.895890410959
243455,202940,324485,185.432876712329
202940,202940,324485,252.558904109589
162425,202940,324485,307.630136986301
121910,202940,324485,343.213698630137
81395,202940,324485,392.553424657534
40880,202940,324485,463.002739726027
365,202940,324485,554.715068493151
365000,162425,324485,121.342465753425
324485,162425,324485,128.271232876712
283970,162425,324485,137.676712328767
243455,162425,324485,151.460273972603
202940,162425,324485,175.402739726027
162425,162425,324485,248.243835616438
121910,162425,324485,280.131506849315
81395,162425,324485,315.180821917808
40880,162425,324485,372.561643835616
365,162425,324485,457.657534246575
365000,121910,324485,111.553424657534
324485,121910,324485,116.032876712329
283970,121910,324485,122.054794520548
243455,121910,324485,130.695890410959
202940,121910,324485,144.643835616438
162425,121910,324485,176.868493150685
121910,121910,324485,244.608219178082
81395,121910,324485,267.846575342466
40880,121910,324485,305.241095890411
365,121910,324485,371.093150684932
365000,81395,324485,108.649315068493
324485,81395,324485,111.32602739726
283970,81395,324485,114.917808219178
243455,81395,324485,120.013698630137
202940,81395,324485,127.950684931507
162425,81395,324485,142.912328767123
121910,81395,324485,212.698630136986
81395,81395,324485,242.093150684932
40880,81395,324485,264.441095890411
365,81395,324485,306.87397260274
365000,40880,324485,111.145205479452
324485,40880,324485,112.454794520548
283970,40880,324485,114.205479452055
243455,40880,324485,116.668493150685
202940,40880,324485,120.419178082192
162425,40880,324485,126.92602739726
121910,40880,324485,142.208219178082
81395,40880,324485,223.997260273973
40880,40880,324485,240.164383561644
365,40880,324485,264.150684931507
365000,365,324485,117.205479452055
324485,365,324485,117.668493150685
283970,365,324485,118.282191780822
243455,365,324485,119.128767123288
202940,365,324485,120.378082191781
162425,365,324485,122.402739726027
121910,365,324485,126.306849315068
81395,365,324485,137.690410958904
40880,365,324485,228.561643835616
365,365,324485,237.043835616438
365000,365000,283970,226.367123287671
324485,365000,283970,568.452054794521
283970,365000,283970,594.671232876712
243455,365000,283970,621.123287671233
202940,365000,283970,652.956164383562
162425,365000,283970,691.906849315068
121910,365000,283970,739.778082191781
81395,365000,283970,798.994520547945
40880,365000,283970,873.52602739726
365,365000,283970,965.46301369863
365000,324485,283970,194.542465753425
324485,324485,283970,234.350684931507
283970,324485,283970,494.383561643836
243455,324485,283970,522.515068493151
202940,324485,283970,552.676712328767
162425,324485,283970,589.868493150685
121910,324485,283970,636.328767123288
81395,324485,283970,694.632876712329
40880,324485,283970,768.758904109589
365,324485,283970,860.654794520548
365000,283970,283970,171.002739726027
324485,283970,283970,193.78904109589
283970,283970,283970,242.597260273973
243455,283970,283970,424.767123287671
202940,283970,283970,455.167123287671
162425,283970,283970,490.021917808219
121910,283970,283970,534.361643835616
81395,283970,283970,591.232876712329
40880,283970,283970,664.709589041096
365,283970,283970,756.509589041096
365000,243455,283970,151.46301369863
324485,243455,283970,166.745205479452
283970,243455,283970,190.816438356164
243455,243455,283970,249.586301369863
202940,243455,283970,362.084931506849
162425,243455,283970,395.471232876712
121910,243455,283970,436.293150684932
81395,243455,283970,490.47397260274
40880,243455,283970,562.605479452055
365,243455,283970,654.112328767123
365000,202940,283970,134.747945205479
324485,202940,283970,145.287671232877
283970,202940,283970,160.271232876712
243455,202940,283970,184.761643835616
202940,202940,283970,251.252054794521
162425,202940,283970,312.052054794521
121910,202940,283970,347.208219178082
81395,202940,283970,395.06301369863
40880,202940,283970,463.306849315069
365,202940,283970,553.465753424658
365000,162425,283970,120.646575342466
324485,162425,283970,127.643835616438
283970,162425,283970,137.139726027397
243455,162425,283970,151.030136986301
202940,162425,283970,174.635616438356
162425,162425,283970,246.912328767123
121910,162425,283970,281.106849315068
81395,162425,283970,316.249315068493
40880,162425,283970,372.671232876712
365,162425,283970,456.58904109589
365000,121910,283970,110.358904109589
324485,121910,283970,114.821917808219
283970,121910,283970,120.808219178082
243455,121910,283970,129.369863013699
202940,121910,283970,143.06301369863
162425,121910,283970,173.323287671233
121910,121910,283970,243.087671232877
81395,121910,283970,267.186301369863
40880,121910,283970,304.712328767123
365,121910,283970,370.180821917808
365000,81395,283970,107.457534246575
324485,81395,283970,110.120547945205
283970,81395,283970,113.684931506849
243455,81395,283970,118.734246575342
202940,81395,283970,126.578082191781
162425,81395,283970,141.213698630137
121910,81395,283970,208.758904109589
81395,81395,283970,240.597260273973
40880,81395,283970,263.435616438356
365,81395,283970,306.084931506849
365000,40880,283970,110.553424657534
324485,40880,283970,111.854794520548
283970,40880,283970,113.597260273973
243455,40880,283970,116.041095890411
202940,40880,283970,119.764383561644
162425,40880,283970,126.21095890411
121910,40880,283970,141.26301369863
81395,40880,283970,222.41095890411
40880,40880,283970,239.013698630137
365,40880,283970,263.460273972603
365000,365,283970,117.183561643836
324485,365,283970,117.649315068493
283970,365,283970,118.260273972603
243455,365,283970,119.106849315068
202940,365,283970,120.350684931507
162425,365,283970,122.375342465753
121910,365,283970,126.276712328767
81395,365,283970,137.635616438356
40880,365,283970,227.953424657534
365,365,283970,236.405479452055
365000,365000,243455,220.276712328767
324485,365000,243455,592.205479452055
283970,365000,243455,616.345205479452
243455,365000,243455,640.334246575342
202940,365000,243455,669.301369863014
162425,365000,243455,704.991780821918
121910,365000,243455,749.279452054795
81395,365000,243455,804.745205479452
40880,365000,243455,875.739726027397
365,365000,243455,965.608219178082
365000,324485,243455,191.756164383562
324485,324485,243455,228.556164383562
283970,324485,243455,514.564383561644
243455,324485,243455,540.660273972603
202940,324485,243455,568.312328767123
162425,324485,243455,602.534246575342
121910,324485,243455,645.613698630137
81395,324485,243455,700.276712328767
40880,324485,243455,770.906849315068
365,324485,243455,860.73698630137
365000,283970,243455,169.578082191781
324485,283970,243455,191.679452054795
283970,283970,243455,237.408219178082
243455,283970,243455,440.575342465753
202940,283970,243455,469.150684931507
162425,283970,243455,501.490410958904
121910,283970,243455,542.769863013699
81395,283970,243455,596.178082191781
40880,283970,243455,666.219178082192
365,283970,243455,755.964383561644
365000,243455,243455,150.668493150685
324485,243455,243455,165.772602739726
283970,243455,243455,189.416438356164
243455,243455,243455,245.635616438356
202940,243455,243455,372.690410958904
162425,243455,243455,404.457534246575
121910,243455,243455,442.882191780822
81395,243455,243455,494.005479452055
40880,243455,243455,562.854794520548
365,243455,243455,652.32602739726
365000,202940,243455,134.167123287671
324485,202940,243455,144.712328767123
283970,202940,243455,159.66301369863
243455,202940,243455,184.008219178082
202940,202940,243455,249.375342465753
162425,202940,243455,317.917808219178
121910,202940,243455,352.265753424658
81395,202940,243455,398.164383561644
40880,202940,243455,463.646575342466
365,202940,243455,551.876712328767
365000,162425,243455,120.041095890411
324485,162425,243455,127.104109589041
283970,162425,243455,136.67397260274
243455,162425,243455,150.654794520548
202940,162425,243455,174.323287671233
162425,162425,243455,245.416438356164
121910,162425,243455,282.621917808219
81395,162425,243455,317.684931506849
40880,162425,243455,372.786301369863
365,162425,243455,455.213698630137
365000,121910,243455,109.169863013699
324485,121910,243455,113.616438356164
283970,121910,243455,119.561643835616
243455,121910,243455,128.024657534247
202940,121910,243455,141.424657534247
162425,121910,243455,169.734246575342
121910,121910,243455,241.312328767123
81395,121910,243455,266.468493150685
40880,121910,243455,304.057534246575
365,121910,243455,369.002739726027
365000,81395,243455,106.082191780822
324485,81395,243455,108.728767123288
283970,81395,243455,112.260273972603
243455,81395,243455,117.257534246575
202940,81395,243455,124.980821917808
162425,81395,243455,139.224657534247
121910,81395,243455,203.432876712329
81395,81395,243455,238.764383561644
40880,81395,243455,262.175342465753
365,81395,243455,305.06301369863
365000,40880,243455,109.813698630137
324485,40880,243455,111.106849315068
283970,40880,243455,112.832876712329
243455,40880,243455,115.257534246575
202940,40880,243455,118.945205479452
162425,40880,243455,125.315068493151
121910,40880,243455,140.079452054795
81395,40880,243455,220.378082191781
40880,40880,243455,237.545205479452
365,40880,243455,262.561643835616
365000,365,243455,117.156164383562
324485,365,243455,117.619178082192
283970,365,243455,118.230136986301
243455,365,243455,119.076712328767
202940,365,243455,120.317808219178
162425,365,243455,122.339726027397
121910,365,243455,126.232876712329
81395,365,243455,137.569863013699
40880,365,243455,227.161643835616
365,365,243455,235.572602739726
365000,365000,202940,213.479452054795
324485,365000,202940,620.997260273973
283970,365000,202940,642.654794520548
243455,365000,202940,663.709589041096
202940,365000,202940,689.27397260274
162425,365000,202940,721.082191780822
121910,365000,202940,761.07397260274
81395,365000,202940,811.997260273973
40880,365000,202940,878.61095890411
365,365000,202940,965.813698630137
365000,324485,202940,188.542465753425
324485,324485,202940,221.865753424658
283970,324485,202940,539.358904109589
243455,324485,202940,562.953424657534
202940,324485,202940,587.575342465753
162425,324485,202940,618.227397260274
121910,324485,202940,657.227397260274
81395,324485,202940,707.471232876712
40880,324485,202940,773.764383561644
365,324485,202940,860.93698630137
365000,283970,202940,168.082191780822
324485,283970,202940,189.208219178082
283970,283970,202940,231.12602739726
243455,283970,202940,461.120547945205
202940,283970,202940,487.257534246575
162425,283970,202940,516.493150684931
121910,283970,202940,554.038356164384
81395,283970,202940,603.230136986301
40880,283970,202940,669.008219178082
365,283970,202940,756.104109589041
365000,243455,202940,150.035616438356
324485,243455,202940,164.819178082192
283970,243455,202940,187.780821917808
243455,243455,202940,240.501369863014
202940,243455,202940,387.928767123288
162425,243455,202940,417.539726027397
121910,243455,202940,452.906849315068
81395,243455,202940,500.230136986301
40880,243455,202940,564.986301369863
365,243455,202940,651.832876712329
365000,202940,202940,133.857534246575
324485,202940,202940,144.334246575342
283970,202940,202940,159.158904109589
243455,202940,202940,183.183561643836
202940,202940,202940,246.569863013699
162425,202940,202940,325.956164383562
121910,202940,202940,358.928767123288
81395,202940,202940,402.164383561644
40880,202940,202940,464.112328767123
365,202940,202940,549.838356164384
365000,162425,202940,119.676712328767
324485,162425,202940,126.783561643836
283970,162425,202940,136.405479452055
243455,162425,202940,150.435616438356
202940,162425,202940,174.120547945205
162425,162425,202940,243.72602739726
121910,162425,202940,285.027397260274
81395,162425,202940,319.690410958904
40880,162425,202940,372.920547945205
365,162425,202940,453.386301369863
365000,121910,202940,108.158904109589
324485,121910,202940,112.572602739726
283970,121910,202940,118.465753424658
243455,121910,202940,126.808219178082
202940,121910,202940,139.868493150685
162425,121910,202940,166.219178082192
121910,121910,202940,239.216438356164
81395,121910,202940,265.717808219178
40880,121910,202940,303.227397260274
365,121910,202940,367.424657534247
365000,81395,202940,104.517808219178
324485,81395,202940,107.134246575342
283970,81395,202940,110.624657534247
243455,81395,202940,115.550684931507
202940,81395,202940,123.123287671233
162425,81395,202940,136.895890410959
121910,81395,202940,195.660273972603
81395,81395,202940,236.476712328767
40880,81395,202940,260.545205479452
365,81395,202940,303.682191780822
365000,40880,202940,108.868493150685
324485,40880,202940,110.147945205479
283970,40880,202940,111.854794520548
243455,40880,202940,114.254794520548
202940,40880,202940,117.895890410959
162425,40880,202940,124.167123287671
121910,40880,202940,138.564383561644
81395,40880,202940,217.682191780822
40880,40880,202940,235.616438356164
365,40880,202940,261.347945205479
365000,365,202940,117.115068493151
